,country,mean days to raise loan,sample_size,alpha_shapiro,alpha-ttest,alpha_mannwhitney,p value,size_n,normal,significance
0,vietnam,12.821077621950574,Sufficient size,0.01,0.01,0.01,5.3167536787684463e-45,Sufficient size,Not normal,Significant
1,nicaragua,14.935810510175443,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
2,belize,3.951092455183494,Sufficient size,0.01,0.01,0.01,4.603827146160287e-42,Sufficient size,Not normal,Significant
3,lesotho,3.6015439111789327,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
4,malawi,6.8879796026548235,Sufficient size,0.01,0.01,0.01,2.5042835485654154e-117,Sufficient size,Not normal,Significant
5,thailand,6.555501715265867,Sufficient size,0.01,0.01,0.01,1.06830566795252e-34,Sufficient size,Not normal,Significant
6,panama,6.122887731481482,Sufficient size,0.01,0.01,0.01,6.517486174555032e-19,Sufficient size,Not normal,Significant
7,colombia,19.343819623181673,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
8,azerbaijan,22.134986655541354,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
9,kenya,14.947823776458268,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
10,south sudan,4.701965344233696,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
11,uganda,12.165272786596056,Sufficient size,0.01,0.01,0.01,9.356191154709359e-98,Sufficient size,Not normal,Significant
12,turkey,4.595407193058215,Sufficient size,0.01,0.01,0.01,0.0,Sufficient size,Not normal,Significant
13,zimbabwe,11.683772889865498,Sufficient size,0.01,0.01,0.01,1.953713077921353e-12,Sufficient size,Not normal,Significant
14,india,9.605483446311755,Sufficient size,0.01,0.01,0.01,6.62617561557167e-101,Sufficient size,Not normal,Significant
15,brazil,15.082783985819976,Sufficient size,0.01,0.01,0.01,1.871313075296295e-31,Sufficient size,Not normal,Significant
16,guatemala,13.73302175324933,Sufficient size,0.01,0.01,0.01,1.511941994592241e-116,Sufficient size,Not normal,Significant
17,somalia,9.08073951705009,Sufficient size,0.01,0.01,0.01,6.0008940643596006e-05,Sufficient size,Not normal,Significant
18,south africa,7.163141411817969,Sufficient size,0.01,0.01,0.01,1.7797286453544275e-18,Sufficient size,Not normal,Significant
19,bosnia and herzegovina,3.274028025249756,Sufficient size,0.01,0.01,0.01,2.5625819514100717e-139,Sufficient size,Not normal,Significant
